timestamp, mac, rss, battery
2013-11-15 16:34:04.349000,4694202700110029,-39,F73E,0
2013-11-15 16:34:08.818000,4694202700110029,-39,FB3E,0
2013-11-15 16:34:09.313000,4694202700110029,-39,FF3E,0
2013-11-15 16:34:10.318000,4694202700110029,-39,003F,0
2013-11-15 16:34:11.354000,4694202700110029,-39,013F,0
2013-11-15 16:34:12.343000,4694202700110029,-39,023F,0
2013-11-15 16:34:13.364000,4694202700110029,-39,033F,0
2013-11-15 16:34:14.353000,4694202700110029,-39,043F,0
2013-11-15 16:34:15.374000,4694202700110029,-39,053F,0
2013-11-15 16:34:16.459000,4694202700110029,-38,063F,0
2013-11-15 16:34:17.479000,4694202700110029,-38,073F,0
2013-11-15 16:34:18.516000,4694202700110029,-39,083F,0
2013-11-15 16:34:19.537000,4694202700110029,-38,093F,0
2013-11-15 16:34:20.574000,4694202700110029,-38,0A3F,0
2013-11-15 16:34:21.564000,4694202700110029,-39,0B3F,0
2013-11-15 16:34:22.595000,4694202700110029,-40,0C3F,0
2013-11-15 16:34:23.608000,4694202700110029,-39,0D3F,0
2013-11-15 16:34:24.630000,4694202700110029,-39,0E3F,0
2013-11-15 16:34:25.652000,4694202700110029,-39,0F3F,0
2013-11-15 16:34:26.706000,4694202700110029,-39,103F,0
2013-11-15 16:34:27.760000,4694202700110029,-39,113F,0
2013-11-15 16:34:28.798000,4694202700110029,-39,123F,0
2013-11-15 16:34:29.852000,4694202700110029,-39,133F,0
2013-11-15 16:34:30.921000,4694202700110029,-39,143F,0
2013-11-15 16:34:31.943000,4694202700110029,-39,153F,0
2013-11-15 16:34:32.981000,4694202700110029,-39,163F,0
2013-11-15 16:34:34.034000,4694202700110029,-39,173F,0
2013-11-15 16:34:35.056000,4694202700110029,-40,183F,0
2013-11-15 16:34:36.138000,4694202700110029,-39,193F,0
2013-11-15 16:34:37.211000,4694202700110029,-38,1A3F,0
2013-11-15 16:34:38.281000,4694202700110029,-38,1B3F,0
2013-11-15 16:34:39.271000,4694202700110029,-38,1C3F,0
2013-11-15 16:34:40.357000,4694202700110029,-38,1D3F,0
2013-11-15 16:34:41.410000,4694202700110029,-38,1E3F,0
